Symbol,Name,Sector,Industry,52high,52low,변동률(%),Sector2
A060310,3S,전자부품 제조업,반도체 웨이퍼 캐리어,4590,2440,88.1147541,전기/전자
A095570,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",8390,4820,74.06639004,서비스/오락/문화
A006840,AK홀딩스,기타 금융업,지주사업,27600,14100,95.74468085,금융업
A054620,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,18400,7860,134.0966921,금융업
A265520,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,26050,16150,61.3003096,기계
A211270,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,18500,8720,112.1559633,방송/통신
A395750,ARIRANG ESG가치주액티브,ETF,ETF,10159,6760,50.28106509,혼합
A269530,ARIRANG S&P글로벌인프라,ETF,ETF,16605,11250,47.6,혼합
A421320,ARIRANG iSelect우주항공&UAM,ETF,ETF,11380,8385,35.71854502,혼합
A161510,ARIRANG 고배당주,ETF,ETF,12806,10375,23.4313253,혼합
A419650,ARIRANG 글로벌수소&차세대연료전지MV,ETF,ETF,12425,7700,61.36363636,혼합
A269540,ARIRANG 미국S&P500(H),ETF,ETF,20000,15510,28.94906512,혼합
A287180,ARIRANG 미국나스닥테크,ETF,ETF,28500,18150,57.02479339,혼합
A027410,BGF,기타 금융업,지주회사,6090,3430,77.55102041,금융업
A282330,BGF리테일,종합 소매업,체인화 편의점,203000,137500,47.63636364,서비스/오락/문화
A138930,BNK금융지주,기타 금융업,금융지주회사,9170,6210,47.66505636,금융업
A001460,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",543000,384500,41.22236671,제조
A013720,CBI,자동차 신품 부품 제조업,엔진부품,1210,286,323.0769231,제조
A001040,CJ,기타 금융업,지주회사,100500,72100,39.38973648,금융업
A079160,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",32900,15800,108.2278481,방송/통신
A035760,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",185900,78100,138.028169,방송/통신
A311690,CJ 바이오사이언스,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",55000,26000,111.5384615,의료/의약
A00104K,CJ4우(전환),기타 금융업,지주회사,83400,63500,31.33858268,금융업
A000120,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",159500,95700,66.66666667,운송/운수
A011150,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",4600,2790,64.87455197,제조
A011155,CJ씨푸드1우,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",42000,22750,84.61538462,제조
A001045,CJ우,기타 금융업,지주회사,62500,44900,39.19821826,금융업
A097950,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",428500,332000,29.06626506,제조
A097955,CJ제일제당 우,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",201500,148000,36.14864865,제조
A051500,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",42800,25800,65.89147287,유통
A058820,CMG제약,의약품 제조업,의약품,4085,2270,79.95594714,의료/의약
A023460,CNH,신탁업 및 집합투자업,투자자문,3440,1670,105.988024,금융업
A065770,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",4510,1470,206.8027211,방송/통신
A083660,CSA 코스믹,기타 화학제품 제조업,화장품 제조 및 판매,2350,1000,135,화학
A000590,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",79400,52700,50.66413662,금융업
A012030,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1120,707,58.41584158,IT
A404950,DB금융스팩10호,기타 금융업,인수목적,2280,2090,9.090909091,금융업
A367360,DB금융스팩9호,금융 지원 서비스업,기업인수 및 합병,2225,2070,7.487922705,금융업
A016610,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",7290,4460,63.4529148,금융업
A005830,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",72300,53600,34.8880597,서비스/오락/문화
A000990,DB하이텍,반도체 제조업,반도체 제조,84900,37950,123.715415,전기/전자
A139130,DGB금융지주,기타 금융업,지주회사,10850,7090,53.03244006,금융업
A001530,DI동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",33008,15000,120.0533333,유통
