iem_cd,name,ticker,sector,industry,up52wk,down52wk,변동률(%),sector2
US5494981039,"Lucid Group, Inc.",LCID,Consumer Cyclical,Auto Manufacturers,57.75,13.25,335.8490566,제조
US46222L1089,"IonQ, Inc.",IONQ,Technology,Computer Hardware,35.9,4.16,762.9807692,제조
CA03879J1003,Arbutus Biopharma Corporation,ABUS,Healthcare,Biotechnology,6.5,1.85,251.3513514,의료/의약
US62526P1093,"Mullen Automotive, Inc.",MULN,Consumer Cyclical,Auto Manufacturers,15.89,0.32,4865.625,제조
US31773D1019,"Finch Therapeutics Group, Inc.",FNCH,Healthcare,Biotechnology,17.39,1.6,986.875,의료/의약
KYG4124C1096,Grab Holdings Limited,GRAB,Technology,Software & Application,17.15,2.26,658.8495575,IT
KYG4760X1025,Indonesia Energy Corporation Limited,INDO,Energy,Oil & Gas E&P,86.99,2.61,3232.950192,화학
US60500F1057,Missfresh Limited,MF,Consumer Defensive,Grocery Stores,5.5,0.08,6775,유통
US44148G1058,"Hoth Therapeutics, Inc.",HOTH,Healthcare,Biotechnology,1.75,0.341,413.1964809,의료/의약
US87407Q2075,"Takung Art Co., Ltd.",TKAT,Consumer Cyclical,Internet Retail,8.67,0.863,904.6349942,유통
MHY460022038,JX Luxventure Limited,LLL,Consumer Cyclical,Apparel Manufacturing,7.16,0.72,894.4444444,제조
IL0011839383,Alpha Tau Medical Ltd.,DRTS,Healthcare,Biotechnology,20.65,4.68,341.2393162,의료/의약
US0088751062,AIkido Pharma Inc.,AIKI,Healthcare,Biotechnology,16.66,4.3,287.4418605,의료/의약
US29271Q1031,Energy Services of America Corporation,ESOA,Industrials,Engineering & Construction,4.68,1.32,254.5454545,건설업
US44862P1093,Hycroft Mining Holding Corporation,HYMC,Basic Materials,Gold,3.1,0.284,991.5492958,철강
US03835L2079,Aptevo Therapeutics Inc.,APVO,Healthcare,Biotechnology,22.08,3,636,의료/의약
US39878L3087,"Grom Social Enterprises, Inc.",GROM,Communication Services,Internet Content & Information,6.94,0.32,2068.75,서비스/오락/문화
US07782B1044,"Belite Bio, Inc",BLTE,Healthcare,Biotechnology,44.7,8.8,407.9545455,의료/의약
US83204U1034,"Smart for Life, Inc.",SMFL,Consumer Defensive,Packaged Foods,3.25,0.307,958.6319218,제조
US02919L2088,"American Rebel Holdings, Inc.",AREB,Consumer Cyclical,Footwear & Accessories,4.2,0.3109,1250.916693,제조
VGG870841027,"TDH Holdings, Inc.",PETZ,Consumer Defensive,Packaged Foods,188,1.7,10958.82353,제조
US27888N3070,"Ecoark Holdings, Inc.",ZEST,Energy,Oil & Gas Integrated,5.25,1.25,320,화학
US00534A1025,"Invivyd, Inc.",IVVD,Healthcare,Biotechnology,78.82,2.41,3170.539419,의료/의약
US48253L2051,"KLX Energy Services Holdings, Inc.",KLXE,Energy,Oil & Gas Equipment & Services,13.36,2.94,354.4217687,화학
US25461T1051,"Direct Digital Holdings, Inc.",DRCT,Communication Services,Advertising Agencies,5.49,1.16,373.2758621,서비스/오락/문화
US1894641000,"Clovis Oncology, Inc.",CLVS,Healthcare,Biotechnology,4.76,0.58,720.6896552,의료/의약
US13173L1070,"Calyxt, Inc.",CLXT,Consumer Defensive,Packaged Foods,4.08,0.163,2403.067485,제조
US09077D1000,Biofrontera Inc.,BFRI,Healthcare,Drug Manufacturers—Specialty & Generic,14.63,0.86,1601.162791,의료/의약
US43906K1007,HOOKIPA Pharma Inc.,HOOK,Healthcare,Biotechnology,6.37,1.23,417.8861789,의료/의약
US02156U1016,"Aterian, Inc.",ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",11.78,1.84,540.2173913,제조
US92536C1036,Veru Inc.,VERU,Healthcare,Biotechnology,24.55,4.34,465.6682028,의료/의약
US12648L6011,CTI BioPharma Corp.,CTIC,Healthcare,Biotechnology,7.8,1.43,445.4545455,의료/의약
US8575611046,"Statera Biopharma, Inc.",STAB,Healthcare,Biotechnology,4.18,0.11,3700,의료/의약
